run_id,response
14,"{""instructions1"":""collect water as fast as possible""}"
14,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
14,"{""instructions3"":""one""}"
10,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets ""}"
10,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
10,"{""instructions3"":""1""}"
17,"{""instructions1"":""Collect one bucket of water for each level""}"
17,"{""instructions2"":""when all 8 people collect water in bucket""}"
17,"{""instructions3"":""1""}"
13,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets.""}"
13,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
13,"{""instructions3"":""1 person""}"
2,"{""instructions1"":""To collect buckets of water and bring them to the storage buckets as quickly as possible""}"
2,"{""instructions2"":""When all 8 players collect and store water""}"
2,"{""instructions3"":""1""}"
23,"{""instructions1"":""To collect buckets of water for points""}"
23,"{""instructions2"":""when all 8 people collect water and store it in a bucket""}"
23,"{""instructions3"":""one""}"
25,"{""instructions1"":""Grab buckets of water and bring it back to the wooden storage buckets.""}"
25,"{""instructions2"":""When 8 people collect water and store it in a wooden storage bucket""}"
25,"{""instructions3"":""One person""}"
30,"{""instructions1"":""collect water""}"
30,"{""instructions2"":""when all 8 people collect water and store it""}"
30,"{""instructions3"":""1""}"
3,"{""instructions1"":""to collect buckets of water""}"
3,"{""instructions2"":""when everyone stores their water""}"
3,"{""instructions3"":""1""}"
26,"{""instructions1"":""Everyone is trying to collect water from a water source and bring it back to the wooden storage buckets. Each person needs to collect one bucket of water for each level.""}"
26,"{""instructions2"":""when all 8 people collect water and store it in a wooden bucket.""}"
26,"{""instructions3"":""1""}"
32,"{""instructions1"":""collect one bucket of water each level""}"
32,"{""instructions2"":""when all eight people collect water and store it in a wooden storage bucket""}"
32,"{""instructions3"":""1""}"
36,"{""instructions1"":""To collect water and bring it to wooden storage buckets to gain levels and earn points. ""}"
36,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket. ""}"
36,"{""instructions3"":""1""}"
34,"{""instructions1"":""To collect water""}"
34,"{""instructions2"":""When 8 people have collected water and stored it""}"
34,"{""instructions3"":""1""}"
35,"{""instructions1"":""collect water""}"
35,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket. ""}"
35,"{""instructions3"":""1""}"
37,"{""instructions1"":""They need to collect a bucket of water the fastest ""}"
37,"{""instructions2"":""When 8 people have collected water and store it in the storage bucket""}"
37,"{""instructions3"":""One person""}"
42,"{""instructions1"":""to collect water the fastest""}"
42,"{""instructions2"":""when all 8 people collect the water and store it""}"
42,"{""instructions3"":""one""}"
45,"{""instructions1"":""to collect water from a water source and bring it back to the wooden storage buckets. Each person needs to collect one bucket of water for each level.""}"
45,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket.""}"
45,"{""instructions3"":""1""}"
46,"{""instructions1"":""Trying to collect water from a water source and bring it back to the wooden storage buckets""}"
46,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
46,"{""instructions3"":""one""}"
39,"{""instructions1"":""the goal is to collect one bucket of water for each level gaining points based on speed""}"
39,"{""instructions2"":""the video will end when all 8 people collect water and store it""}"
39,"{""instructions3"":""one""}"
51,"{""instructions1"":""To collect one bucket of water from a source as fast as possible for each level""}"
51,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
51,"{""instructions3"":""One""}"
48,"{""instructions1"":""Collect one bucket of water each level ""}"
48,"{""instructions2"":""When all 8 people collect water and store it ""}"
48,"{""instructions3"":""1 person ""}"
57,"{""instructions1"":"" Each person needs to collect one bucket of water for each level""}"
57,"{""instructions2"":""Each video will end when all 8 people collect water and store it in a wooden storage bucket""}"
57,"{""instructions3"":""1""}"
66,"{""instructions1"":""collect water and bring it back to the bucket""}"
66,"{""instructions2"":""when all 8 people collected water and store it in the storage bucket""}"
66,"{""instructions3"":""1""}"
61,"{""instructions1"":""Collect one bucket of water as fast as possible for each level""}"
61,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket""}"
61,"{""instructions3"":""1""}"
60,"{""instructions1"":""To gather water and bring it back to wooden storage buckets. Each person needs to collect one bucket per level.""}"
60,"{""instructions2"":""When all 8 people collect water and then bring it to the wooden storage bucket.""}"
60,"{""instructions3"":""One. For each video, an image will be shown of the specific person I need to focus on.""}"
59,"{""instructions1"":""Collect one bucket of water for each level""}"
59,"{""instructions2"":""when all 8 people collect and store water""}"
59,"{""instructions3"":""1""}"
64,"{""instructions1"":""Each person needs to collect one bucket of water for each level.""}"
64,"{""instructions2"":""Each video will end when all 8 people collect water and store it in a wooden storage bucket.""}"
64,"{""instructions3"":""One""}"
65,"{""instructions1"":""each person collect one bucket of water for each level, the faster you collect the more points""}"
65,"{""instructions2"":""when all 8 people collect water and store it in their bucket""}"
65,"{""instructions3"":""one""}"
68,"{""instructions1"":""Collect water and put it in water storage buckets quickly.""}"
68,"{""instructions2"":""When all the people collect water and put it in the wooden storage bucket.""}"
68,"{""instructions3"":""1""}"
71,"{""instructions1"":""Everyone in the game is trying to collect water from a water source and bring it back to the wooden storage buckets as fast as possible""}"
71,"{""instructions2"":""The video will end when all 8 people collect water and store it in a wooden storage bucket""}"
71,"{""instructions3"":""1""}"
7,"{""instructions1"":""collecting water""}"
7,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
7,"{""instructions3"":""just one""}"
67,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
67,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
67,"{""instructions3"":""1""}"
75,"{""instructions1"":""to collect water from a water source and bring it back to a storage bucket as quickly as they can in order to receive the most points""}"
75,"{""instructions2"":""when all 8 people have collected water from the water source and have stored it in a wooden storage bucket""}"
75,"{""instructions3"":""one""}"
79,"{""instructions1"":""Collect water and put it in the wooden storage bucket.""}"
79,"{""instructions2"":""When all 8 players collect water and store it in the bucket.""}"
79,"{""instructions3"":""1""}"
78,"{""instructions1"":""to collect water from a water source and bring it back to a wooden storage bucket and do this fast as doing it faster results in more points.""}"
78,"{""instructions2"":""when all 8 people collect water and put it in a wooden storage bucket.""}"
78,"{""instructions3"":""I will focus on one person in each video.""}"
83,"{""instructions1"":""Collecting water from a water source & bringing it back to storage buckets.""}"
83,"{""instructions2"":""When all 8 people collect water & store it.""}"
83,"{""instructions3"":""1""}"
82,"{""instructions1"":""Collect water""}"
82,"{""instructions2"":""8 people collect water ""}"
82,"{""instructions3"":""1""}"
80,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
80,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
80,"{""instructions3"":""1""}"
84,"{""instructions1"":""Each person needs to collect one bucket of water for each level. The faster a person collects the bucket of water, the more points they receive.""}"
84,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket.""}"
84,"{""instructions3"":""1""}"
85,"{""instructions1"":""To collect water from a water source and bring it to wooden storage buckets. The faster to collect the more points. To collect one bucket of water for each level""}"
85,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
85,"{""instructions3"":""one""}"
86,"{""instructions1"":""collect water""}"
86,"{""instructions2"":""all 8 people collect and store water in a bucket""}"
86,"{""instructions3"":""1""}"
21,"{""instructions1"":""collect bucket of water""}"
21,"{""instructions2"":""when all 8 people collect water""}"
21,"{""instructions3"":""1""}"
22,"{""instructions1"":""collect water""}"
22,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
22,"{""instructions3"":""1""}"
28,"{""instructions1"":""bring back water to wooden storage buckets.""}"
28,"{""instructions2"":""after all 8 people collect water and store it""}"
28,"{""instructions3"":""1""}"
29,"{""instructions1"":""Collect water from a water source and bring it back to the wooden storage buckets.""}"
29,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
29,"{""instructions3"":""1""}"
24,"{""instructions1"":""collecting buckets of water""}"
24,"{""instructions2"":""when all 8 people have collected water""}"
24,"{""instructions3"":""1""}"
31,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets""}"
31,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket.""}"
31,"{""instructions3"":""1""}"
38,"{""instructions1"":""collect one bucket of water for each level""}"
38,"{""instructions2"":""when all 8 people collect water in their storage buckets""}"
38,"{""instructions3"":""one""}"
41,"{""instructions1"":""collect one bucket of water for each level""}"
41,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
41,"{""instructions3"":""one""}"
43,"{""instructions1"":""try to collect water from a water source and bring it back to the wooden storage buckets.""}"
43,"{""instructions2"":""when 8 people collect water and store it in a wooden storage bucket""}"
43,"{""instructions3"":""8 ""}"
44,"{""instructions1"":""To collect water from a water source and bring it back to the wooden storage buckets.""}"
44,"{""instructions2"":""All 8 people collect water and store it in a wooden storage bucket.""}"
44,"{""instructions3"":""One""}"
47,"{""instructions1"":""To collect buckets of water""}"
47,"{""instructions2"":""When all 8 people collect water and store it in a wooden storage bucket""}"
47,"{""instructions3"":""1""}"
52,"{""instructions1"":""collect water from a water source and bring it back to the wooden storage buckets""}"
52,"{""instructions2"":""when all 8 people collect water and store it in a wooden storage bucket""}"
52,"{""instructions3"":""1""}"
54,"{""instructions1"":""To collect buckets of water as fast as possible""}"
54,"{""instructions2"":""When all 8 people collect water and store it in the bucket.""}"
54,"{""instructions3"":""1""}"
