run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,ID,rt,stimulus,response,trial_category,stimulus_name,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
78,1,true,false,[],[],[],preload,0,14712,0.0-0.0,3fn8llwqo,"""","""","""","""","""","2022-01-24 05:49:02",67.0.90.26,"Mozilla/5.0 (X11; CrOS x86_64 14324.72.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.91 Safari/537.36",WebKit,Chrome,97.0.4692.91,ChromeOS,14324.72.0,4d5ed8b1f2f00df59eccea4670b22524
78,1,"""","""","""","""","""",html-keyboard-response,1,114472,0.0-1.0,3fn8llwqo,99705,"<p style=""text-align:center;width:700px;""> Welcome to the experiment! This study takes most people around 20 minutes to complete. Please complete it in one sitting.</p>"," ","""","""","2022-01-24 05:49:02",67.0.90.26,"Mozilla/5.0 (X11; CrOS x86_64 14324.72.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.91 Safari/537.36",WebKit,Chrome,97.0.4692.91,ChromeOS,14324.72.0,4d5ed8b1f2f00df59eccea4670b22524
78,1,"""","""","""","""","""",html-keyboard-response,2,135763,0.0-2.0,3fn8llwqo,21278,"<p style = ""font-size:16px;"">MIT Computational Cognitive Science Lab</p><h4>Press the 'y' key to consent.</h4><div style = ""background-color:#f2f2f2;""><h3>Informed Consent Form</h3><div style=""text-align:left;width:700px;""><p style = ""font-size:16px;"">In this HIT, you will be asked to read a set of instructions that describe a particular scenario, and you will then be asked to perform a simple task relating to that scenario. There will also be comprehension and attention checks. Participants who do not answer these checks correctly cannot be approved. In order to get credit for this HIT, you must read all the questions fully and answer honestly. You may only complete this HIT once. If you complete this HIT multiple times, you will be rejected.</p><p style = ""font-size:16px;"">This HIT is part of a MIT scientific research project. Your decision to complete this HIT is voluntary. There is no way for us to identify you. The only information we will have, in addition to your responses, is the time at which you completed the survey. The results of the research may be presented at scientific meetings or published in scientific journals. Pressing the ""Y"" key indicates that you are at least 18 years of age, and agree to complete this HIT voluntarily. Press the ""Y"" key to confirm your agreement and continue.</p></div>",y,"""","""","2022-01-24 05:49:02",67.0.90.26,"Mozilla/5.0 (X11; CrOS x86_64 14324.72.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.91 Safari/537.36",WebKit,Chrome,97.0.4692.91,ChromeOS,14324.72.0,4d5ed8b1f2f00df59eccea4670b22524
78,1,"""","""","""","""","""",survey-text,3,296103,0.0-3.0,3fn8llwqo,160245,"""","{""instructions1"":""to collect water from a water source and bring it back to a wooden storage bucket and do this fast as doing it faster results in more points.""}",instructions,"""","2022-01-24 05:49:02",67.0.90.26,"Mozilla/5.0 (X11; CrOS x86_64 14324.72.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.91 Safari/537.36",WebKit,Chrome,97.0.4692.91,ChromeOS,14324.72.0,4d5ed8b1f2f00df59eccea4670b22524
78,1,"""","""","""","""","""",survey-text,4,420065,0.0-4.0,3fn8llwqo,123855,"""","{""instructions2"":""when all 8 people collect water and put it in a wooden storage bucket.""}",instructions,"""","2022-01-24 05:49:02",67.0.90.26,"Mozilla/5.0 (X11; CrOS x86_64 14324.72.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.91 Safari/537.36",WebKit,Chrome,97.0.4692.91,ChromeOS,14324.72.0,4d5ed8b1f2f00df59eccea4670b22524
78,1,"""","""","""","""","""",survey-text,5,524295,0.0-5.0,3fn8llwqo,104195,"""","{""instructions3"":""I will focus on one person in each video.""}",instructions,"""","2022-01-24 05:49:02",67.0.90.26,"Mozilla/5.0 (X11; CrOS x86_64 14324.72.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.91 Safari/537.36",WebKit,Chrome,97.0.4692.91,ChromeOS,14324.72.0,4d5ed8b1f2f00df59eccea4670b22524
78,1,"""","""","""","""","""",video-button-response,6,626146,0.0-6.0,3fn8llwqo,101705,"[""video/yes_line_9_8cut.mp4""]",1,yes_8,video/yes_line_9_8cut.mp4,"2022-01-24 05:49:02",67.0.90.26,"Mozilla/5.0 (X11; CrOS x86_64 14324.72.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.91 Safari/537.36",WebKit,Chrome,97.0.4692.91,ChromeOS,14324.72.0,4d5ed8b1f2f00df59eccea4670b22524
78,1,"""","""","""","""","""",video-button-response,7,691004,0.0-7.0,3fn8llwqo,64835,"[""video/yes_line_7_1cut.mp4""]",0,yes_1,video/yes_line_7_1cut.mp4,"2022-01-24 05:49:02",67.0.90.26,"Mozilla/5.0 (X11; CrOS x86_64 14324.72.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.91 Safari/537.36",WebKit,Chrome,97.0.4692.91,ChromeOS,14324.72.0,4d5ed8b1f2f00df59eccea4670b22524
78,1,"""","""","""","""","""",video-button-response,8,760407,0.0-8.0,3fn8llwqo,69378,"[""video/yes_line_7_8cut.mp4""]",1,yes_8,video/yes_line_7_8cut.mp4,"2022-01-24 05:49:02",67.0.90.26,"Mozilla/5.0 (X11; CrOS x86_64 14324.72.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.91 Safari/537.36",WebKit,Chrome,97.0.4692.91,ChromeOS,14324.72.0,4d5ed8b1f2f00df59eccea4670b22524
78,1,"""","""","""","""","""",video-button-response,9,792131,0.0-9.0,3fn8llwqo,31699,"[""video/no_line_3_3cut.mp4""]",1,no_34,video/no_line_3_3cut.mp4,"2022-01-24 05:49:02",67.0.90.26,"Mozilla/5.0 (X11; CrOS x86_64 14324.72.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.91 Safari/537.36",WebKit,Chrome,97.0.4692.91,ChromeOS,14324.72.0,4d5ed8b1f2f00df59eccea4670b22524
